Year	Year (ISO)	Bituminous (tonnes)	Sub-Bituminous (tonnes)	Lignite (tonnes)	Total Production (tonnes)	Under Ground (tonnes)	Open Cast (tonnes)	Total (tonnes)	Index	Column8	Column9
1981	1981-01-01T00:00:00Z	475237	1509710	211947	2196894	720499	1476395	2196894			
1982	1982-01-01T00:00:00Z	427792	1594735	221857	2244384	802489	1441895	2244384			
1983	1983-01-01T00:00:00Z	496352	1752219	224960	2473531	859595	1613936	2473531			
1984	1984-01-01T00:00:00Z	582444	1709113	235090	2526647	843443	1683204	2526647			
1985	1985-01-01T00:00:00Z	638502	1505619	245889	2390010	652838	1737172	2390010			
1986	1986-01-01T00:00:00Z	589072	1686524	242351	2517947	879078	1638869	2517947			
1987	1987-01-01T00:00:00Z	453257	1533440	234299	2220996	724329	1496667	2220996			
1988	1988-01-01T00:00:00Z	600890	1653125	184056	2438071	797448	1640623	2438071			
1989	1989-01-01T00:00:00Z	773015	1780712	159289	2713016	582566	2130450	2713016			
1990	1990-01-01T00:00:00Z	668665	1756298	159289	2584252	567774	2016478	2584252			
1991	1991-01-01T00:00:00Z	734122	1779549	170476	2684147	468459	2215688	2684147			
1992	1992-01-01T00:00:00Z	907102	1897243	179666	2984011	470167	2513844	2984011			
1993	1993-01-01T00:00:00Z	975109	1932057	183613	3090779	425917	2664862	3090779			
1994	1994-01-01T00:00:00Z	1265328	1516327	251541	3033196	535821	2497375	3033196			
1995	1995-01-01T00:00:00Z	1570220	1631936	242882	3445038	709324	2735714	3445038			 
1996	1996-01-01T00:00:00Z	1671730	1588840	248764	3509334	742512	2766822	3509334			
1997	1997-01-01T00:00:00Z	1500145	1950548	213341	3664034	851206	2812828	3664034			
1998	1998-01-01T00:00:00Z	1361080	1736005	206795	3303880	914365	2389515	3303880			
1999	1999-01-01T00:00:00Z	1620866	1672947	211917	3505730	921058	2584672	3505730			
2000	2000-01-01T00:00:00Z	1792784	1645382	147469	3585635	884568	2701067	3585635			
2001	2001-01-01T00:00:00Z	1896771	1811681	202944	3911396	915271	2996125	3911396			
2002	2002-01-01T00:00:00Z	2268906	1971794	218239	4458939	904981	3553958	4458939			
2003	2003-01-01T00:00:00Z	2351021	2576555	252336	5179912	812826	4367086	5179912			
2004	2004-01-01T00:00:00Z	2526613	2389352	239429	5155394	726830	4428564	5155394			
2005	2005-01-01T00:00:00Z	2543405	2477312	246445	5267162	754435	4512727	5267162			
2006	2006-01-01T00:00:00Z	2863029	2653516	251366	5767911	1101631	4666280	5767911			
2007	2007-01-01T00:00:00Z	2019430	2555830	260148	4835408	619873	4215535	4835408			
2008	2008-01-01T00:00:00Z	2476848	2179081	253492	4909421	845278	4064143	4909421			
2009	2009-01-01T00:00:00Z	2085486	2218143	259704	4563333	836042	3727291	4563333			
											
Total Production 1884-2008		1.2084718E8	1.58745937E8	1.9878281E7	3.02052754E8	1.82121972E8	1.19930764E8	3.02052736E8			
Notes											
"The time series 1878-1984 has been copied from the Ministry of Energy archive OMA 6-3 (National Archive reference 20050-27925). In 'Mines Statements' (the primary reference documents) prior to World War II, the following grades of coal were used in national totals:
Bituminous and Semi-Bituminous Coal.  Pitch Coal, Brown Coal, Lignite, Shale No notes have been left concerning how the grades of coal were attributed to the three grades of coal adopted in the Ministry of Energy archive OMA 6-3 (Bitiminous, Sub-Bitiminous and Lignite).  In the time series after World War II, the yearly totals for Anthracite production have been combined to the Bituminous coal total. National totals from Ministry of Energy archive OMA 6-3 have been correlated against national totals from the yearly 'Mines Statements' archived at Crown Minerals (standard conversion used was 1 long ton = 1.016047 metric tonnes). In years where the difference was greater than 5 tonnes (maximum allowable tolerance for rounding over five parameters) the Ministry of Energy archive file totals were over written with figures from the applicable mines statement. The time series 1985-1987 has been copied from data tabulated in the 'Statistics of Workings in Coal Mines', located in the Ministry of Energy archive OMA 6-3. "											
These statistics were collected under Coal Mines Act 1925. It should be noted that for 1985 and 1987 there are large discrepancies (+50,00 tonnes) in the total values of the statistics collected under the Coal Mines Act 1925 (by mine) and those that appear, as lump sum figures in the Ministry of Energy 'Annual Returns of Production From Quarries and Minerals Production Statistics'. The statistics collected under the Coal Mines Act 1925 have been used in the tables below. The time series 1988-2007 has been copied from the yearly 'Annual Mining Reviews'.											
